District,2017,2018,2019,2020,2021,2022,2023
Kedungkandang,34804717300,29254753600,27383762500,30458392400,30845996700,31836763600,41723833400
Sukun,31666701400,26482344800,25218673900,26266484900,27125148900,27184392900,36105529800
Klojen,35280270500,30587263100,27331348500,26561182200,29455553600,28809525600,36540902000
Blimbing,33930849000,28362786600,30878146300,29069956400,34144127000,29165067000,41826587300
Lowokwaru,43629441900,38149732000,33386573000,34759242700,36781012200,39114640400,49572070700
Total,179311980100,152836880100,144198504200,147115258600,158351838400,156110389500,205768923200
